ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	AVG_REPS_PERIODICITY	REPS_SCATTER	TP_0_REP_1	TP_3_REP_1	TP_6_REP_1	TP_9_REP_1	TP_12_REP_1	TP_15_REP_1	TP_18_REP_1	TP_21_REP_1	TP_24_REP_1
VNG6254C	0.6053	0.944759461193073	22.3716108678186	9.49865998041299	0.396081871064377	0.0266146187117798	0	1.986922	2.124937	2.296278	2.370428	2.316664	2.335232	1.624244	2.167387	2.698235
VNG6255C	0.48	0.896871595330739	25.9706474827938	22.5499694677371	0.297267437958804	0.0529673911553497	0	1.150680	1.091480	1.031639	0.965269	0.958984	1.344532	0.873750	1.288159	1.577000
VNG6256G	0.1643	0.72043795620438	21.6157046705486	3.65898482214646	0.149003681560447	0.400845099711573	0	0.475671	0.825715	0.641683	0.515741	0.547896	0.553935	0.567393	0.600025	0.731254
VNG6258C	0.3746	0.835431754874652	24.025165772547	8.74958404661218	1.15032028551515	0.102865163801112	0	2.820187	2.684349	3.757237	2.959627	3.111303	3.331768	2.828600	5.308150	2.527721
VNG6260G	0.0281	0.590322580645161	23.1353087859898	2.65506142419716	0.215876223042329	0.898105284806039	0	1.061129	1.216116	0.917513	1.009092	0.829770	0.849712	0.869375	0.951467	1.292681
VNG6261G	0.7648	0.975511022044088	25.3104271304594	20.9651462398305	0.13305369516882	0.0117321745359175	0	1.241284	1.076357	1.119872	1.155875	1.170533	1.281128	1.111836	1.092599	1.371717
VNG6262G	0.0965	0.670893371757925	25.8701078354524	14.0802629675495	0.0449923397688274	0.632765415698703	0	0.150227	0.193493	0.202211	0.241195	0.244155	0.222770	0.247821	0.241792	0.181838
VNG6264G	0.4466	0.87	25.478489480705	16.5572893851504	0.0483126111777745	0.0651538097305696	0	0.276918	0.285973	0.255644	0.323149	0.322574	0.338201	0.309080	0.375911	0.309283
VNG6265G	0.3732	0.835431754874652	24.0405600011228	13.8490912833151	0.0266976284949301	0.103725957124788	0	0.216599	0.194848	0.215048	0.242458	0.248189	0.239511	0.216951	0.253201	0.205972
VNG6266H	0.0029	0.333913043478261	23.0829601636768	15.6868452192036	1.88069075447317	0.984718823029525	0	3.163881	2.367584	2.945909	3.452686	4.976458	4.971641	6.459912	3.551912	2.520232
