ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	AVG_REPS_PERIODICITY	REPS_SCATTER	TP_0_REP_1	TP_3_REP_1	TP_6_REP_1	TP_9_REP_1	TP_12_REP_1	TP_15_REP_1	TP_18_REP_1	TP_21_REP_1	TP_24_REP_1	TP_27_REP_1	TP_30_REP_1	TP_33_REP_1	TP_36_REP_1	TP_39_REP_1	TP_42_REP_1	TP_45_REP_1	TP_48_REP_1	TP_51_REP_1	TP_54_REP_1
VNG0534C	0.1507	0.548	23.4312698391423	16.5790693011202	0.607024984732577	0.0696336552841353	0	0.840631	1.489915	1.184593	0.494474	0.801957	1.950700	1.678903	1.436872	0.830430	1.069381	1.634466	1.964678	1.704958	1.476886	1.937165	1.042301	0.916668	1.063170	1.117146
VNG0535C	0.083	0.499039665970772	24.8928267382417	4.17594187493084	0.166373979421798	0.207954041573018	0	0.103808	0.063678	0.013328	0.057717	0.037035	0.025019	0.039567	0.035185	0.080722	0.036941	0.059425	0.097163	0.236708	0.431115	0.393900	0.181527	0.035426	0.026576	0.042659
VNG0536G	0.6709	0.954878482513337	26.9464395470756	6.35721990698093	0.331925226053795	0.00219790511735584	0	0.253953	0.258185	0.134611	0.168936	0.146530	0.138824	0.178553	0.086481	0.105920	0.126079	0.339173	0.464393	0.661954	0.477994	0.983033	0.483479	0.098465	0.189093	0.144997
VNG0537C	0.0841	0.499039665970772	24.4818871302271	2.38115048317963	0.175596046656453	0.204973319236361	0	0.568813	0.442340	0.258480	0.151293	0.243487	0.076644	0.098480	0.140138	0.206643	0.134152	0.114495	0.184020	0.171504	0.311673	0.299931	0.115627	0.110126	0.087623	0.103174
VNG0539C	0.4213	0.812205533596838	26.3864375538819	5.13778733091431	0.25941908173744	0.00786317889127515	0	0.889672	0.753326	0.461626	0.676532	0.579756	0.281883	0.304323	0.367989	0.392342	0.282535	0.404563	0.451253	0.426847	0.492301	0.687667	0.362151	0.269624	0.286642	0.237689
VNG0540G	0.0652	0.499039665970772	26.9014528236715	5.01280501296583	0.212548260980855	0.290706599822873	0	0.534083	0.513698	0.402228	0.284859	0.313870	0.112164	0.108050	0.126906	0.206643	0.177991	0.197062	0.159417	0.258773	0.447304	0.377550	0.082441	0.076974	0.077282	0.106572
VNG0541G	0.1932	0.603108808290155	23.4395037704891	7.9132622699867	0.186341437836261	0.0437463496355832	0	0.977847	1.151980	1.159109	1.244556	1.086093	0.876791	1.140834	0.751597	0.799439	1.040284	1.259101	0.944961	0.945485	1.021506	1.013258	1.064572	1.017607	1.079991	1.047030
VNG0542C	0.5266	0.865608755129959	23.3698400449296	12.4719784441018	0.993659660975452	0.00448675746968076	0	0.731833	0.864447	1.419962	3.096298	1.440104	1.793937	2.100639	1.661870	1.437582	2.160907	1.842637	3.200440	1.752361	1.856148	2.996064	1.343315	1.455887	2.684331	1.163334
VNG0543H	0.5946	0.906057142857143	21.8042478990326	8.96303612079693	0.2376785313295	0.00324774424306356	0	0.935661	0.814250	0.800868	1.259090	1.033772	0.681941	0.629224	1.060027	1.043303	1.161647	0.929758	0.931496	1.201890	0.948898	0.989005	1.251904	1.056290	1.097078	0.934750
VNG0544H	0.1934	0.603108808290155	23.9601316546902	10.9533566384236	1.00328355984027	0.0436482539142064	0	0.507832	0.404376	1.419962	2.990306	1.173713	1.540480	0.483837	0.624562	2.395765	0.637526	0.517817	2.080764	1.581110	1.237360	0.809836	1.174965	0.903090	1.586534	0.584254
