"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","0","3","6","9","12","15","18","21","24","27","30","33","36","39","42","45","48","51","54"
"VNG2361G","0.364000627266972","0.526500080124811","22.0147058823529","1.73329770821699","0.380917366149816","0.686451287935708","1","27","15","0.11410211604054","0.994055950211016","1","27.2727272727273","18.9926527924781","1.05320931111962","0.835239489072734","0.999999999409966","25.4291443850267","17.2577062825686","0.448088068291648","0.260405174377101","0.260405174377101","0.215450128","0.121802078","0.107009713","0.28175817","0.175338552","0.088150799","0.118000954","0.101127288","0.144145077","0.073640541","0.103473481","0.145172989","0.257383232","0.469425359","1.298644642","0.510835429","3.808774909","0.071435897","0.054956315"
"VNG2363G","0.352439707302234","0.519886476659718","24","18.6128358379066","0.207887583493731","1","1","27","15","0.280688636823635","0.900878057328632","1","28","16.1719162015291","0.879022010221801","0.890717999691969","0.999999999409966","26.3333333333333","16.6204983819537","0.451433803222319","0.241300109366547","0.241300109366547","0.330710871","0.173438751","0.119714484","0.301098297","0.731238418","0.126730433","0.124254629","0.201557252","0.132998033","0.139696764","0.154996174","0.202262038","0.599215715","0.596616385","1.350205736","0.647473907","1.904238851","0.230148549","0.242748126"
"VNG2365G","0.354701373659512","0.520915581803124","21.8540145985401","2.06951923154652","0.424017755326101","0.686451287935708","1","24","18","0.0583289944282388","0.994432496313313","1","26.8542199488491","19.5586741786111","1.10639681352109","0.829062486804667","0.999999999409966","24.2360781824631","19.9161538007954","0.443410227727662","0.376861335356068","0.376861335356068","0.226327725","0.120977036","0.081891041","0.192641143","0.157649893","0.076236753","0.105639791","0.071936993","0.097254716","0.098275218","0.086042532","0.107711015","0.198580126","0.511111221","1.360761059","0.457600883","4.153539005","0.048602262","0.038783266"
"VNG2366C","0.00607707215350617","0.153526033351735","27.7222222222222","10.1908071087464","0.767681643049869","0.0339142134847591","1","27","10.5","0.701914991774148","0.128680232345667","1","28","10.0368549723267","2.69781677083179","0.00177843350233253","0.0853648081119616","27.5740740740741","10.2477580484103","2.13882585695832","0.80540777632794","0.376565382220192","1.764991148","1.713518229","4.083785861","2.233077845","2.391540628","2.532397588","1.655272157","1.428617294","1.372551155","1.944444749","1.766393817","2.027275884","3.415004182","2.573616995","3.518654424","1.398882927","2.282488371","1.113852142","1.02866401"
"VNG2367G","0.375968385364811","0.535503931676882","24","2.6594626818463","0.0604419032940184","1","1","21","3","0.10077662935211","0.999774936380218","1","22.4839400428266","7.5987093451611e-05","0.838206191997261","0.923614933660507","0.999999999409966","22.4946466809422","1.92235827213849","0.604065007339654","0.0496605690027991","0.0496605690027991","0.818545648","0.845095622","0.644168073","0.550573617","0.939551655","0.51735987","0.419711051","0.518639461","0.72092778","0.596675256","0.534862144","0.495212369","0.57466498","0.503265824","0.526243966","0.631237586","0.495107554","0.768916585","0.467607771"
"VNG2368G","0.447825159742079","0.588620493133383","24.1451612903226","3.66536392667252","0.0917937769985915","1","1","27","4.5","0.142844736024887","0.973958746819063","1","28","7.5987093451611e-05","1.46445232163108","0.94820660666167","0.999999999409966","26.3817204301075","2.85616601688664","0.920105867823284","0.1132537911755","0.1132537911755","1.671908207","1.079367048","1.009004714","1.062948279","0.884158153","1.050072614","0.677956252","1.033702638","0.671152184","0.810770635","0.955068706","0.695698001","1.032222232","0.659723601","0.712987918","0.848925202","0.739911468","0.826870926","1.194394476"
"VNG2369C","0.542689792023799","0.664857325603429","24","12.7642290468888","0.096441247759442","1","1","27","15","0.105029103773235","0.999990391106179","1","24.5901639344262","13.7461871881455","1.30801972069997","0.9757611153614","0.999999999409966","25.1967213114754","13.8282392558727","0.999795374449802","0.090520726982319","0.090520726982319","0.618178923","0.942180229","1.128799205","1.490363162","1.470794905","0.883758018","1.178939697","1.609483512","1.078114154","0.871424511","0.721029908","1.001964118","0.941461557","0.7238855","0.801329318","0.820660504","0.813268451","0.725491676","0.995077824"
"VNG2370C","0.211453944782543","0.401494831865588","24","23.1916341595321","0.0663723350304232","1","1","27","24","0.0718642910123554","0.994798536216294","1","23.7020316027088","20.8790348397587","0.682773771834932","0.793907004116803","0.999999999409966","24.9006772009029","22.7037222456962","0.681342324470104","0.0692910680436506","0.0692910680436506","0.953575336","0.747780611","0.684281702","0.624968153","0.66753331","0.625981411","0.8458973","0.692778223","0.527177924","0.727612866","0.666220365","0.645675533","0.708364919","0.556498866","0.518111559","0.735138852","0.90809326","0.579163395","0.599798609"
"VNG2371C","0.413647153396234","0.567501346400014","24","11.4413943718608","0.0377197695835871","0.566900559689272","1","27","10.5","0.04067471528379","0.67182303176405","1","28","9.542724357053","0.226673590160702","0.717716312800857","0.999999999409966","26.3333333333333","10.5787141685822","0.193566830798055","0.0461812628947079","0.0461812628947079","0.383372959","0.196009801","0.153757951","0.363045869","0.237591524","0.124450941","0.148321925","0.132800964","0.077078051","0.151507656","0.098160962","0.270358088","0.342078513","0.179908644","0.172811237","0.180332813","0.180629402","0.125001982","0.114072395"
"VNG2372G","0.512306297224256","0.639039546380902","21.2340425531915","20.4985794820075","0.0488264721096598","1","1","27","6","0.0227883651079693","0.999975019403537","1","21.2121212121212","20.2830442238631","0.387334804266884","0.969537377096206","0.999999999409966","23.1487212551042","0.851582222844124","0.301895849770457","0.0285305042887595","0.0285305042887595","0.633592014","0.304889232","0.28621396","0.245240327","0.237591524","0.228596589","0.208249118","0.203280785","0.197121665","0.22939936","0.240476733","0.244754564","0.53298072","0.331445468","0.410171572","0.255158579","0.527313629","0.268090285","0.200567713"
"VNG2373G","0.011132787116465","0.166991806746975","20.3673469387755","9.44548606580904","0.219479648545998","0.686451287935708","1","21","9","0.156397799373988","0.618827009023923","1","20.1535508637236","12.7621177711779","1.18785223677314","0.0978305718232555","0.740799433803874","20.5069659341664","10.3600576881672","0.97134421766632","0.214798326400152","0.214798326400152","0.692330553","1.101601277","1.138582898","1.163665604","1.635821274","1.012637173","0.917403009","1.078661393","0.959786802","1.227596478","0.906033727","0.907075844","0.726370374","0.629807883","0.514092605","0.980323646","0.839302752","1.269500371","0.871346831"
