"CycID","BH.Q","ADJ.P","PER","LAG","AMP","0","3","6","9","12","15","18","21","24"
"VNG0001H","1","1","27","10.5","0.0627781230233866","0.806468696","0.751501767","0.84028344","0.701893813","0.78566864","0.81244018","0.483186821","0.799087986","0.601196339"
"VNG0002G","1","1","21","12","0.110499618415322","0.318059737","0.566538804","0.490021899","0.510380741","0.62122715","0.82943498","0.484401208","0.5882862","0.566556295"
"VNG0003C","1","0.303968253968254","27","25.5","0.125868259742399","0.743705298","0.537659564","0.565700698","0.536345715","0.476668368","0.662796725","0.513190217","0.714444954","0.751045148"
"VNG0005H","1","1","27","10.5","0.0632495574783647","0.975992259","0.885373467","1.065440641","0.918539871","0.903069682","0.962094012","0.891473661","0.686762727","0.823407076"
"VNG0006G","1","1","27","25.5","0.224463217187175","0.988830008","1.021489918","0.835372242","0.650696526","0.661494981","0.952186533","0.561724417","0.879163343","1.214589254"
"VNG0008G","1","1","21","19.5","0.102134435415557","1.031056544","0.98303974","0.740784475","0.885561381","0.888394275","1.246247864","0.686648167","0.896707083","0.92442663"
"VNG0009G","1","1","27","6","0.110684768669121","1.436925316","1.25489795","1.251808156","1.140879653","1.309200547","1.13539019","0.780425144","1.118077954","1.243766164"
"VNG0011C","1","1","27","6","0.122175406598468","1.325096655","1.09147966","1.004781466","1.117290032","1.294978339","1.041556497","0.961197488","0.905609802","1.104567401"
"VNG0013C","1","1","21","10.5","0.0441975141965935","0.379920117","0.282996241","0.504596589","0.415230658","0.340681348","0.423229925","0.36477052","0.440284683","0.398008351"
"VNG0014C","1","1","21","10.5","0.409679239695447","2.910036718","1.94071067","2.911574023","2.906011526","3.180018824","3.436854409","2.325631291","3.154830832","2.603849026"
"VNG0015H","1","0.141269841269841","27","0","0.157456308526939","1.474975223","1.228908351","1.146439952","0.957736047","1.055160723","1.006231504","1.123055251","1.107086539","1.367653088"
"VNG0016H","1","1","27","7.5","0.173207739281585","1.120996289","1.635816781","1.505668457","1.402312165","1.452349305","1.285555577","1.38319209","1.464691426","1.053352221"
"VNG0017H","1","0.593783068783069","27","10.5","1.04958391680903","3.239184131","2.342939226","4.680957998","4.723519941","3.84985157","3.864647344","4.366819661","2.924705449","2.218339453"
"VNG0018H","1","1","24","12","0.442801141150981","3.342383437","2.384158471","3.481558101","3.077872225","3.518104013","3.252260015","2.488711542","2.839295484","2.880251015"
