"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH","0","3","6","9","12","15","18","21","24"
"VNG0001H","0","default","1","24","0.0196904265496632","10.0241504863114","0.731303075777778","0.0215539182976998","-0.304594775603067","0.152148582304287","0.936721945954983","0.978299682459512","0.806468696","0.751501767","0.84028344","0.701893813","0.78566864","0.81244018","0.483186821","0.799087986","0.601196339"
"VNG0002G","1","mle","1","27.4678899082569","0.0916731501288828","12.0257013633608","0.552767446","0.316374117784376","0.0884988237125007","0.232277347710346","0.319488691403624","0.76200173912644","0.318059737","0.566538804","0.490021899","0.510380741","0.62122715","0.82943498","0.484401208","0.5882862","0.566556295"
"VNG0003C","1","burg","1","25.3728813559322","0.0958921222871931","24.0482091012245","0.611284076333333","0.509492117376642","0.345989489835523","0.164697112880348","0.118015207163406","0.670557849347464","0.743705298","0.537659564","0.565700698","0.536345715","0.476668368","0.662796725","0.513190217","0.714444954","0.751045148"
"VNG0005H","1","burg","1","20.5068493150685","0.0490662140077891","11.3396205000127","0.901350377333333","0.219661542912491","-0.040451276116678","0.110302439860556","0.47517001996938","0.802359060393298","0.975992259","0.885373467","1.065440641","0.918539871","0.903069682","0.962094012","0.891473661","0.686762727","0.823407076"
"VNG0006G","0","mle","1","25.1596638655462","0.193009056570878","0.367812310969987","0.862838580222222","0.506774921374602","0.342366561832803","0.228547719222187","0.119987347342589","0.670557849347464","0.988830008","1.021489918","0.835372242","0.650696526","0.661494981","0.952186533","0.561724417","0.879163343","1.214589254"
"VNG0008G","0","burg","1","20.3673469387755","0.0772510354851487","15.9528255525299","0.920318462111111","0.115027416771269","-0.179963444304974","0.166791053855904","0.693089706493656","0.867265534715732","1.031056544","0.98303974","0.740784475","0.885561381","0.888394275","1.246247864","0.686648167","0.896707083","0.92442663"
"VNG0009G","1","burg","1","24.95","0.077017143945123","2.45193019683759","1.18570789711111","0.141743847744268","-0.144341536340976","0.144515521825321","0.632194591114754","0.845312228975235","1.436925316","1.25489795","1.251808156","1.140879653","1.309200547","1.13539019","0.780425144","1.118077954","1.243766164"
"VNG0011C","1","mle","1","22.1777777777778","0.0289726290560191","13.0749240702238","1.09406192666667","0.0348697754576113","-0.286840299389852","0.121219315321036","0.898995979145325","0.962013298025551","1.325096655","1.09147966","1.004781466","1.117290032","1.294978339","1.041556497","0.961197488","0.905609802","1.104567401"
"VNG0013C","0","default","1","24","0.01847750569299","7.68691034256361","0.394413159111111","0.0463316334667786","-0.271557822044295","0.150972058498766","0.867345503955699","0.948319725416132","0.379920117","0.282996241","0.504596589","0.415230658","0.340681348","0.423229925","0.36477052","0.440284683","0.398008351"
"VNG0014C","1","mle","1","23.2093023255814","0.30059819725091","13.1784092066898","2.81883525766667","0.262644562148142","0.0168594161975232","0.15465212270332","0.400895020841615","0.793196988481702","2.910036718","1.94071067","2.911574023","2.906011526","3.180018824","3.436854409","2.325631291","3.154830832","2.603849026"
"VNG0015H","0","burg","1","24.95","0.186365054025863","24.2279101591505","1.16302740866667","0.77103136864388","0.694708491525173","0.136520188647573","0.0120040546668104","0.599901574974977","1.474975223","1.228908351","1.146439952","0.957736047","1.055160723","1.006231504","1.123055251","1.107086539","1.367653088"
"VNG0016H","1","burg","1","25.3728813559322","0.0879787501580584","10.5584681980566","1.36710381233333","0.143196452428208","-0.142404730095722","0.127945007759468","0.628990039348117","0.845312228975235","1.120996289","1.635816781","1.505668457","1.402312165","1.452349305","1.285555577","1.38319209","1.464691426","1.053352221"
"VNG0017H","0","burg","1","25.5897435897436","0.912222512854539","12.1312010626821","3.57899608588889","0.563606645453921","0.418142193938562","0.250303232496122","0.0831063838221981","0.669878350320764","3.239184131","2.342939226","4.680957998","4.723519941","3.84985157","3.864647344","4.366819661","2.924705449","2.218339453"
"VNG0018H","0","default","1","24","0.230865565323832","11.2573165906996","3.029399367","0.203369498174189","-0.0621740024344151","0.128334261661713","0.50555777369297","0.814974709145444","3.342383437","2.384158471","3.481558101","3.077872225","3.518104013","3.252260015","2.488711542","2.839295484","2.880251015"
"VNG0019H","1","burg","1","23.5748031496063","0.0406087846574757","9.42531072447929","0.296726635444444","0.186399336213323","-0.0848008850489022","0.235267134006774","0.538559737627811","0.822835209252014","0.333380081","0.189485714","0.405021567","0.391022653","0.300466534","0.245366122","0.3161418","0.213351582","0.276303666"
"VNG0020H","1","burg","1","21.2340425531915","0.246654419224213","7.01710771237981","3.20365437711111","0.132976091911635","-0.156031877451153","0.141706717484082","0.651768278827841","0.853622769584685","3.058190066","2.970083919","3.331811439","3.061837296","3.605636502","3.343283442","2.146132232","3.781250973","3.534663525"
"VNG0021H","1","mle","1","23.2093023255814","0.371702432428924","3.48860280426963","1.52611626955556","0.53770192471306","0.383602566284079","0.232794407527478","0.0988021183156639","0.669878350320764","1.637520854","1.57424256","1.587234998","1.602104652","1.209524143","1.349179543","1.046832714","1.353387079","2.375019883"
"VNG0022H","1","mle","1","22.8549618320611","0.0564383918056754","0.0274804460195741","3.19807132266667","0.00522595376212598","-0.326365394983832","0.201492006572494","0.984403927767899","0.992633715539431","2.607511597","2.637939749","3.420868297","3.302744931","3.019237238","2.774946525","3.414537038","4.808814409","2.79604212"
"VNG0023H","0","default","1","24","0.293527976878988","4.33249692284028","3.156038091","0.181940853907652","-0.0907455281231302","0.167628918011537","0.547462168794626","0.824972388534195","2.507266256","3.206968838","3.491777236","2.478042579","3.331120209","3.436854409","2.396748733","3.599009","3.956555559"
