"CycID","PhaseShift","PhaseShiftHeight","PeakIndex","PeakSPD","Period","p","N","Nindependent","Nyquist","BH.Q","0","3","6","9","12","15","18","21","24","27","30","33","36","39","42","45","48","51","54"
"VNG0027H","41.1796010379322","1.57301687573264","6","1.97459412736399","27.2727272727273","0.908478741966463","19","16","0.175925925925926","1","0.624298648","1.228153261","1.199091779","1.369610617","1.598966398","1.098819013","1.808488692","1.300885223","1.097570526","1.430986791","0.794179621","1.820134882","1.240836169","2.009353272","1.137621046","2.247314697","1.234685912","1.020839232","1.48202327"
"VNG0028C","43.0981705053352","0.541167361669946","1","0.746750023080947","28","0.999965562076865","19","16","0.175925925925926","1","0.597228456","0.358908951","0.337211271","0.655883122","0.355360678","0.308414539","0.425949522","0.321946006","0.209855941","0.443092619","0.315747091","0.288898361","0.57466498","0.556498866","0.486819413","0.523974837","0.757605817","0.452378783","0.301205656"
"VNG0029H","31.1566688162474","1.57263085210218","63","1.5851684497668","21.0420841683367","0.974494604670988","19","16","0.175925925925926","1","0.342312038","0.532336541","0.476234159","1.17070984","1.060967482","1.098819013","1.619040875","0.99061777","1.158071838","1.623552011","1.735631215","2.095635322","0.998247977","1.55671709","0.654456831","1.535403688","0.584176851","1.105787547","1.224503863"
"VNG0030H","36.9054677178607","1.44850742689467","38","0.117470789400294","23.3853006681514","0.999999999999999","19","16","0.175925925925926","1","0.826648923","0.994828124","0.601195199","1.018977598","0.688126518","0.771281418","0.987640331","1.215222393","1.05900268","1.062654566","1.381231161","1.865974544","0.887905494","1.845471871","0.92190393","1.929689203","0.982521941","0.977287303","1.16502545"
"VNG0031H","27.2299381004274","1.43894977486302","18","0.719271126515344","25.6723716381418","0.999977068836078","19","16","0.175925925925926","1","0.760249952","0.916910515","1.053496271","1.088921109","0.714763696","0.941722471","1.607140878","1.767516411","1.078114154","1.510547705","1.168908656","1.835288261","0.858681237","1.532821972","1.173614089","2.04749421","0.77572331","1.385169831","1.099275481"
"VNG0032H","21.3349529568123","1.54050892257782","1","0.730447259915046","28","0.999972873954333","19","16","0.175925925925926","1","0.73448461","1.043302777","1.071837446","1.251068384","0.877467657","1.911390957","1.492846971","1.582306922","1.049574366","1.825493609","1.481790142","1.419325987","0.673681917","1.748213678","1.146514474","1.834123289","0.959574539","1.171975383","1.869693887"
"VNG0033H","15.3284162754322","1.37630577271099","1","0.630924644999545","28","0.999994722173553","19","16","0.175925925925926","1","0.510139893","0.948605733","1.026571299","1.508461567","0.975921426","1.810094828","1.742996317","0.933298998","1.049574366","1.35561637","1.118678692","1.865974544","0.796395396","1.313142798","0.691121612","2.445843293","0.667889186","1.260308841","1.469775143"
"VNG0034H","29.8748425925717","1.75161466313711","60","1.33599018438811","21.2981744421907","0.992406465241497","19","16","0.175925925925926","1","0.665580664","1.057581585","0.909740767","1.472481902","1.118906871","1.149828313","1.481874503","1.813247808","1.811038606","1.194830289","1.443250033","2.514961938","1.608269821","1.721379147","0.900616489","1.615404994","1.054709559","1.097781343","2.189015685"
"VNG0035C","40.234742321426","0.805012754905917","76","0.834215756605443","20","0.999889738380626","19","16","0.175925925925926","1","1.031764574","0.487319083","0.551487774","0.651936631","0.642656272","0.655040677","0.791558192","0.64167203","0.499636492","0.789130084","0.615577204","1.125284053","0.599215715","0.934364829","0.591447215","0.83467322","0.728345427","0.915418347","0.640971102"
"VNG0037H","38.6136283849393","0.627493793046892","76","1.81706018107659","20","0.941422072644204","19","16","0.175925925925926","1","0.53589572","0.480739604","0.638632821","0.293916532","0.329367685","0.498915817","0.372982585","0.426396675","0.647568375","0.670891268","0.615577204","0.395887881","0.619609353","0.63962594","0.826682471","0.477385497","0.73410567","0.312287005","0.491480698"
