"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH","0","3","6","9","12","15","18","21","24","27","30","33","36","39","42","45","48","51","54"
"VNG0001H","1","burg","1","21.0845070422535","0.289368665303934","1.10313776563345","0.726006177210526","0.384883392144766","0.307993816162862","0.476911539316764","0.0204955521834476","0.19059168633956","1.09999045","0.525149264","0.596029208","0.177032928","0.355360678","0.541376714","0.527558031","0.704676894","1.811038606","0.476240446","0.696134428","0.57491592","0.816638439","0.75826988","1.06891267","0.893157951","1.038222703","0.538570562","0.594841595"
"VNG0002G","0","default","1","24","0.160235558255725","20.3842475652923","0.746910574","0.162836698942157","0.0581912863099269","0.389976415547147","0.241257850672269","0.431145457000981","1.20196748","0.670727426","0.460075066","0.36745456","0.731238418","0.522076452","0.410524242","0.509882085","0.767500505","0.565248226","0.621008537","0.524803208","1.094483091","0.971206147","1.249052541","0.841769049","1.367829102","0.75782256","0.556632211"
"VNG0003C","0","mle","1","23.2093023255814","0.106448092104389","19.6225806110065","0.51180251331579","0.331780193532332","0.248252717723873","0.340103095928918","0.0397516128531742","0.217362965669062","0.603140779","0.368800349","0.23067035","0.182456529","0.360800429","0.373167267","0.432280721","0.415642648","0.566275756","0.383557955","0.530184247","0.529172413","0.751091579","0.615362644","0.886698647","0.664127849","0.728345427","0.55044022","0.552031944"
"VNG0005H","1","burg","1","24.5409836065574","0.132702714503233","2.63278122499726","1.05482619905263","0.198677863900414","0.0985125968879659","0.216301498002679","0.170003209487878","0.367558334276041","1.231936205","1.667560869","0.966392136","1.025145966","1.312410038","0.899945273","0.973175317","1.007631924","1.078114154","1.121736711","0.914027803","1.001964118","0.87317111","0.927165994","0.712987918","1.181005439","0.67849519","1.405447808","1.063383809"
"VNG0006G","1","burg","1","20.648275862069","0.228602776851836","14.7003886390327","0.998369212263158","0.263674589323212","0.171633912988614","0.323510634253287","0.0864088661334126","0.290674717291407","0.826648923","1.064794106","0.949855331","0.57433184","1.352897507","1.761478018","1.44943862","1.078661393","1.232884549","1.034290897","0.874750497","1.306396521","0.776654142","0.701833227","0.573308387","0.735138852","0.579593041","0.809040335","1.287018847"
"VNG0008G","1","yule-walker","1","20.648275862069","0.106929027973502","0.69725781299879","1.127428872","0.142144975013173","0.0349130968898197","0.184330665807563","0.29329941470765","0.474338676077062","1.121877183","1.179076586","1.128799205","0.667866512","0.807130757","1.192335472","1.095097872","1.268075974","1.597915797","1.006684292","1.393417977","1.018717102","1.383414894","1.196751829","1.044230689","0.997062598","1.315000557","1.020839232","0.98685404"
"VNG0009G","0","burg","1","25.8103448275862","0.0345047273975201","0.434249077184458","0.829361656421053","0.0255078997770127","-0.0963036127508607","0.230890689456364","0.813254701533059","0.871006252665175","1.036859026","0.935798249","1.241207158","0.560632938","1.110440013","0.743784977","0.803323699","1.10656987","0.959786802","0.635555262","0.77352368","0.993691226","0.816638439","0.615362644","0.696524501","0.681210154","0.705752907","0.68951146","0.651698467"
"VNG0011C","1","mle","1","26.7321428571429","0.174227796890833","2.30439168944234","1.41248691231579","0.227683729360697","0.131144195530784","0.185539284594884","0.126578945943585","0.327535142492053","1.530060581","2.044722841","1.090497938","1.129075133","1.611158161","1.170889015","1.127894289","1.404494682","1.28926333","1.367896614","1.548324229","1.63415893","1.272376156","1.474676559","1.094178047","1.588285145","1.063050908","1.661113306","1.73513547"
"VNG0013C","1","mle","1","20.0939597315436","0.162581227645747","18.2171645442731","0.807333357315789","0.270119705267869","0.178884668426352","0.289226316679285","0.0805402753441761","0.284859590986263","1.073231507","1.179076586","0.901923484","0.588365471","0.748092869","1.192335472","0.634405412","0.681080464","0.831827487","0.641312624","0.67802856","0.828010317","1.076320647","0.885122878","1.060621193","0.449918557","0.722630382","0.310025962","0.857003917"
"VNG0014C","0","burg","1","25.5897435897436","0.374671240683916","12.7318027837364","1.63541583936842","0.338075767223382","0.255335238126304","0.284469299456062","0.0368524398305392","0.215721599008034","0.972548817","1.445755217","1.341454434","2.233077845","1.751561521","1.52340495","2.429239993","1.404494682","1.040229991","1.510547705","2.200207187","2.061172227","1.50414385","1.874240879","2.104600279","2.3051188","0.952045129","1.066332015","1.352725427"
"VNG0015H","0","mle","1","26.0347826086957","0.0916580056391231","3.5345171642432","0.967206309105263","0.155029503237035","0.0494081911416641","0.191414048930563","0.259855768490888","0.448349277051137","0.822587308","0.935798249","0.909740767","0.840021429","0.925386129","0.743784977","1.119604234","0.886815729","0.901545946","1.101686412","0.874750497","1.097640246","0.910474571","0.87153652","1.155477428","0.766922967","0.813268451","1.155065975","1.544812038"
"VNG0016H","0","mle","1","24.95","0.0791317363409693","3.1106743089391","0.908026339315789","0.107637677886598","-0.00390761237757764","0.193155137448958","0.402096043258044","0.558143726905324","1.078530705","1.094139438","0.785601513","1.000694293","0.98336261","0.778312911","0.729861283","0.925385942","0.733938127","1.152498432","1.024601409","0.743406693","0.624815302","1.273139534","0.669925914","0.766922967","1.013974375","0.87001886","1.003370139"
